발생장소_시도,발생원인_기타
경남,입산자실화
부산,담뱃불실화
충남,입산자실화
경북,화목보일러 재투기
경북,입산자실화
경북,미상
경북,미상
울산,쓰레기소각
경남,건축물실화
울산,입산자실화
부산,입산자실화
경기,쓰레기태우기
강원,건축물실화
강원,입산자실화
강원,담뱃불실화
경기,담뱃불실화
경기,야영객취사
울산,쓰레기소각
부산,산업현장실화(용접중불꽃)
경기,전기합선(도복목으로인한)
강원,화목보일러재처리부주의
대구,입산자실화
울산,입산자실화
경북,화목보일러재투기
전남,화덕불씨취급부주의
경북,농산폐기물소각
전남,차량화재
강원,화목보일러불씨
경북,담뱃불실화
경남,농업부산물 소각
경기,소각재 투기
경기,방화
경북,입산자실화
강원,입산자실화
경북,입산자실화
경북,건축물화재전이
전북,입산자실화
경기,건축물실화
경북,군부대실화추정
경기,쓰레기소각
경기,담뱃불실화
경남,입산자실화
경기,담뱃불실화
경북,입산자실화
광주,입산자실화
경남,입산자실화
경북,전기합선
전북,입산자실화
경북,농산폐기물소각
경기,건축물실화
경북,미상
울산,전기누전(비닐하우스)화재
경남,입산자실화
경북,벌집소각재부주의
경기,입산자실화
충북,쓰레기소각
제주,입산자실화
경기,입산자실화
경기,건축물실화
경기,건축물실화
부산,담뱃불실화
경남,입산자실화
경기,입산자실화
경기,입산자실화
경기,입산자실화
충북,공장화재 비화
경북,아궁이재처리소홀
강원,입산자실화
경기,입산자실화
경북,입산자실화
충남,입산자실화
경기,쓰레기소각
강원,입산자실화
경기,쓰레기소각
경기,담뱃불실화
경기,군사훈현
충남,입산자실화
경북,입산자실화
대구,입산자실화
경기,입산자실화
강원,입산자실화
서울,입산자실화
경기,입산자실화
강원,농산폐기물소각
경북,입산자실화
경기,담뱃불실화
경기,쓰레기소각
경북,미상
강원,미상
경북,미상
경남,입산자실화
경기,입산자실화
충남,입산자실화
강원,입산자실화
충남,입산자실화
경기,입산자실화
경남,입산자실화
전북,입산자실화
전북,입산자실화
부산,담뱃불실화
강원,입산자실화
경북,입산자실화
강원,입산자실화
경남,쓰레기 소각
강원,입산자실화
인천,입산자실화
경기,입산자실화
경남,입산자실화
강원,입산자실화
경북,입산자실화
전남,입산자실화
경북,미상
경기,농산폐기물소각
강원,입산자실화
경기,미상
경기,전신주도복에의한발화(추정)
경기,담뱃불실화
경기,입산자실화
경기,용접불꽃
경기,쓰레기태우기
경기,건축물실화(무속행위)
강원,입산자실화
대구,입산자실화
경기,담뱃불실화
경기,송전선로합선
경남,송전선로스파크(추정)
경기,입산자실화
부산,송전선로 스파크
부산,입산자실화
강원,입산자실화
부산,입산자실화
경기,담뱃불실화
경남,송전선로스파크(추정)
세종,입산자실화
부산,담뱃불실화
경북,화목보일러불씨부주의
부산,경작지내 소각
경북,미상
경북,미상
경남,건축물실화
경북,미상
경북,입산자실화
울산,주택화재비화
경북,미상
대구,입산자실화
경북,미상
경북,담뱃불실화
경남,농산폐기물소각
경남,농산폐기물소각
경북,쓰레기소각
경북,쓰레기소각
경북,입산자실화
울산,입산자실화
경북,낙뢰
전남,방화 추정
부산,입산자실화
경북,농산부산물소각
대구,입산자실화
강원,전기누전 추정
강원,주택화재
강원,입산자실화
인천,담뱃불실화추정
경기,담뱃불실화
서울,입산자실화
인천,담뱃불실화추정
경기,쓰레기태우기
경기,미상
강원,건축공사장(그라인더절단작업)
서울,미상
경북,미상
강원,주택화재비화
강원,입산자실화
강원,입산자실화
경기,방화
충남,담뱃불실화추정
경북,쓰레기소각
충북,입산자실화(취사행위)
경북,미상
강원,입산자실화
경기,건축물실화
경기,소각재 기
경북,입산자실화
경기,입산자실화
경기,입산자실화
강원,입산자실화
경남,입산자실화
경기,건축물실화
경기,담뱃불실화
경기,담뱃불실화
인천,담뱃불실화추정
대구,입산자실화
경기,담뱃불실화
전남,논밭두랑소각
경기,입산자실화
경기,미상
경기,산업현장실화
강원,입산자실화
대전,성묘객실화
경기,산업현장실화
경기,미상
강원,미상
경기,미상
충북,입산자실화
전남,입산자실화
제주,미상
경남,기계톱과열
전남,농산폐기물소각
충남,입산자실화
충남,입산자실화
전북,입산자실화
부산,담뱃불실화
경북,미상
경북,입산자실화
강원,미상
충북,입산자실화(담뱃불)
강원,입산자실화
충남,입산자실화
충남,담뱃불실화
강원,화목보일러불씨취급부주의
강원,미상
전남,밭두렁소각
경기,미상
충남,입산자실화
경기,쓰레기소각
경기,담뱃불실화
경북,미상
경북,미상
충북,화목보일러재취급부주의
경북,미상
대구,건축공사중불씨부주의
강원,입산자실화
경기,미상
경북,입산자실화
경기,입산자실화
전남,논두렁소각
경기,입산자실화
충북,입산자실화(산나물채취자)
전남,입산자실화
대구,입산자실화
경기,미상
경기,산업현장실화(용접불꽃)
울산,입산자실화
경북,주택화재비화
강원,입산자실화
경기,입산자실화
경북,영농부산물소각
강원,입산자실화
경기,미상
경기,미상
경기,담뱃불실화
경기,미상
경기,입산자실화
경기,입산자실화
전남,산업현장실화(누전)
충북,입산자실화(산나물채취자)
경북,미상
전북,태양광보수용접작업
강원,쓰레기소각
충남,입산자실화
충남,담뱃불실화
